"Date","HomeTeam","AwayTeam","FTHG","HTAG","FTR"
2017-09-20,"Sevilla","Las Palmas",1,0,"H"
2017-09-21,"Celta","Getafe",1,0,"D"
2017-09-21,"Levante","Sociedad",3,0,"H"
2017-09-21,"Villarreal","Espanol",0,0,"D"
2017-09-23,"Alaves","Real Madrid",1,2,"A"
2017-09-23,"Ath Madrid","Sevilla",2,0,"H"
2017-09-23,"Girona","Barcelona",0,1,"A"
2017-09-23,"Malaga","Ath Bilbao",3,1,"D"
2017-09-24,"Eibar","Celta",0,3,"A"
2017-09-24,"Espanol","La Coruna",4,0,"H"
2017-09-24,"Getafe","Villarreal",4,0,"H"
2017-09-24,"Las Palmas","Leganes",0,0,"A"
2017-09-24,"Sociedad","Valencia",2,1,"A"
2017-09-25,"Betis","Levante",4,0,"H"
2017-09-29,"Celta","Girona",3,2,"D"
2017-09-30,"La Coruna","Getafe",2,0,"H"
2017-09-30,"Leganes","Ath Madrid",0,0,"D"
2017-09-30,"Levante","Alaves",0,1,"A"
2017-09-30,"Sevilla","Malaga",2,0,"H"
2017-10-01,"Barcelona","Las Palmas",3,0,"H"
2017-10-01,"Real Madrid","Espanol",2,0,"H"
2017-10-01,"Sociedad","Betis",4,2,"D"
2017-10-01,"Valencia","Ath Bilbao",3,0,"H"
2017-10-01,"Villarreal","Eibar",3,0,"H"
2017-10-13,"Espanol","Levante",0,0,"D"
2017-10-14,"Alaves","Sociedad",0,0,"A"
2017-10-14,"Ath Bilbao","Sevilla",1,0,"H"
2017-10-14,"Ath Madrid","Barcelona",1,0,"D"
2017-10-14,"Getafe","Real Madrid",1,1,"A"
2017-10-15,"Betis","Valencia",3,2,"A"
2017-10-15,"Eibar","La Coruna",0,0,"D"
2017-10-15,"Girona","Villarreal",1,2,"A"
2017-10-15,"Malaga","Leganes",0,0,"A"
2017-10-16,"Las Palmas","Celta",2,2,"A"
2017-10-21,"Barcelona","Malaga",2,0,"H"
2017-10-21,"Betis","Alaves",2,0,"H"
2017-10-21,"Levante","Getafe",1,0,"D"
2017-10-21,"Valencia","Sevilla",4,0,"H"
2017-10-22,"Celta","Ath Madrid",0,1,"A"
2017-10-22,"Leganes","Ath Bilbao",1,0,"H"
2017-10-22,"Real Madrid","Eibar",3,0,"H"
2017-10-22,"Villarreal","Las Palmas",4,0,"H"
2017-10-23,"La Coruna","Girona",1,1,"A"
2017-10-23,"Sociedad","Espanol",1,1,"D"
