"","date","home.team","home.score","away.team","away.score"
"122",17-11-25,"Alaves",1,"Eibar",2
"123",17-11-25,"Betis",2,"Girona",2
"124",17-11-25,"Levante",0,"Ath Madrid",5
"125",17-11-25,"Real Madrid",3,"Malaga",2
"126",17-11-26,"La Coruna",2,"Ath Bilbao",2
"127",17-11-26,"Sociedad",2,"Las Palmas",2
"128",17-11-26,"Valencia",1,"Barcelona",1
"129",17-11-26,"Villarreal",2,"Sevilla",3
"130",17-11-27,"Espanol",1,"Getafe",0
"131",17-12-01,"Malaga",0,"Levante",0
"132",17-12-02,"Ath Bilbao",0,"Real Madrid",0
"133",17-12-02,"Ath Madrid",2,"Sociedad",1
"134",17-12-02,"Barcelona",2,"Celta",2
"135",17-12-02,"Sevilla",2,"La Coruna",0
"136",17-12-03,"Eibar",3,"Espanol",1
"137",17-12-03,"Getafe",1,"Valencia",0
"138",17-12-03,"Las Palmas",1,"Betis",0
"139",17-12-03,"Leganes",3,"Villarreal",1
"140",17-12-04,"Girona",2,"Alaves",3
"141",17-12-08,"Alaves",2,"Las Palmas",0
"142",17-12-09,"Getafe",0,"Eibar",0
"143",17-12-09,"La Coruna",1,"Leganes",0
"144",17-12-09,"Real Madrid",5,"Sevilla",0
"145",17-12-09,"Valencia",2,"Celta",1
"146",17-12-10,"Betis",0,"Ath Madrid",1
"147",17-12-10,"Levante",1,"Ath Bilbao",2
"148",17-12-10,"Sociedad",0,"Malaga",2
"149",17-12-10,"Villarreal",0,"Barcelona",2
"150",17-12-11,"Espanol",0,"Girona",1
"151",17-12-15,"Sevilla",0,"Levante",0
"152",17-12-16,"Ath Bilbao",0,"Sociedad",0
"153",17-12-16,"Ath Madrid",1,"Alaves",0
"154",17-12-16,"Eibar",2,"Valencia",1
"155",17-12-17,"Barcelona",4,"La Coruna",0
"156",17-12-17,"Celta",0,"Villarreal",1
"157",17-12-17,"Girona",1,"Getafe",0
"158",17-12-17,"Las Palmas",2,"Espanol",2
"159",17-12-18,"Malaga",0,"Betis",2
"160",17-12-19,"Levante",0,"Leganes",0
"161",17-12-20,"Getafe",2,"Las Palmas",0
"162",17-12-20,"Sociedad",3,"Sevilla",1
"163",17-12-21,"Alaves",1,"Malaga",0
"164",17-12-21,"Eibar",4,"Girona",1
"165",17-12-22,"Betis",0,"Ath Bilbao",2
"166",17-12-22,"Espanol",1,"Ath Madrid",0
"167",17-12-23,"La Coruna",1,"Celta",3
"168",17-12-23,"Real Madrid",0,"Barcelona",3
"169",17-12-23,"Valencia",0,"Villarreal",1
"170",18-01-06,"Ath Madrid",2,"Getafe",0
"171",18-01-06,"Las Palmas",1,"Eibar",2
"172",18-01-06,"Sevilla",3,"Betis",5
"173",18-01-06,"Valencia",2,"Girona",1
"174",18-01-07,"Ath Bilbao",2,"Alaves",0
"175",18-01-07,"Barcelona",3,"Levante",0
"176",18-01-07,"Celta",2,"Real Madrid",2
"177",18-01-07,"Leganes",1,"Sociedad",0
"178",18-01-07,"Villarreal",1,"La Coruna",1
"179",18-01-08,"Malaga",0,"Espanol",1
"180",18-01-12,"Getafe",1,"Malaga",0
"181",18-01-13,"Eibar",0,"Ath Madrid",1
"182",18-01-13,"Girona",6,"Las Palmas",0
"183",18-01-13,"La Coruna",1,"Valencia",2
"184",18-01-13,"Real Madrid",0,"Villarreal",1
"185",18-01-14,"Alaves",1,"Sevilla",0
"186",18-01-14,"Espanol",1,"Ath Bilbao",1
"187",18-01-14,"Levante",0,"Celta",1
"188",18-01-14,"Sociedad",2,"Barcelona",4
"189",18-01-15,"Betis",3,"Leganes",2
"190",18-01-19,"Getafe",2,"Ath Bilbao",2
"191",18-01-20,"Ath Madrid",1,"Girona",1
